Hora de publicación,Impresiones,Alcance,Comentarios,Compartidos,Clics,Reacciones
06/08/2023 12:06,9873,6400,9,19,1361,171
06/08/2023 12:06,2495,1721,0,1,66,7
06/08/2023 12:06,2135,1526,0,0,48,1
06/07/2023 12:06,9828,7004,57,15,2058,174
06/07/2023 09:06,2489,1855,0,0,23,5
06/07/2023 09:06,2249,1646,0,0,20,1
06/07/2023 09:06,12645,8146,12,20,1963,217
06/06/2023 18:06,3618,2637,0,5,71,28
06/06/2023 17:06,3986,3090,1,2,158,46
06/06/2023 14:06,6668,5154,1,10,491,63
06/06/2023 14:06,3737,2929,0,0,115,34
06/06/2023 09:06,6842,6188,9,2,576,128
06/04/2023 13:06,4460,3720,0,2,329,8
06/01/2023 18:06,6461,5569,6,3,634,118
05/31/2023 18:05,2810,2118,3,8,69,12
05/31/2023 18:05,4000,2959,0,4,60,6
05/30/2023 09:05,3061,2385,0,1,39,3
05/30/2023 08:05,12527,10359,253,34,1909,709
05/29/2023 10:05,2658,2110,0,1,21,2
05/29/2023 10:05,2489,1993,0,0,52,1
05/29/2023 10:05,2164,1728,0,0,35,0
05/29/2023 09:05,1916,1547,0,0,30,8
05/29/2023 09:05,1894,1531,0,1,11,0
05/26/2023 10:05,6089,4869,0,0,1046,26
05/25/2023 16:05,5027,4157,0,0,838,16
05/25/2023 16:05,3803,3168,0,0,465,13
05/25/2023 11:05,8595,7566,20,2,2468,115
05/24/2023 20:05,3207,2480,0,2,244,79
05/24/2023 19:05,3098,2325,5,3,248,57
05/24/2023 17:05,3244,2580,1,5,67,16
05/24/2023 15:05,2291,1880,0,1,24,4
05/24/2023 15:05,3225,2696,0,1,150,7
05/24/2023 12:05,3627,2976,0,4,121,11
05/24/2023 09:05,2477,1964,0,2,26,5
05/24/2023 09:05,2567,2178,0,0,71,3
05/24/2023 08:05,2352,1988,0,1,44,5
05/24/2023 08:05,3173,2580,8,3,291,26
05/23/2023 19:05,2439,1998,2,3,187,39
05/23/2023 17:05,14414,10185,5,9,3236,87
05/23/2023 16:05,2655,2090,0,6,72,18
05/23/2023 14:05,3037,2685,0,2,133,16
05/23/2023 13:05,3125,2559,0,4,100,22
05/23/2023 13:05,5347,4684,4,3,581,44
05/23/2023 09:05,4032,2963,0,4,203,11
05/23/2023 08:05,4291,3466,6,8,473,91
05/22/2023 17:05,5481,5126,4,4,519,40
